,index,Player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Season,cluster
0,2,Aaron Nesmith,12.25,1.4,3.55,0.396,0.75,2.25,0.3185,0.35,0.4,0.893,0.45,1.65,0.44999999999999996,1.7000000000000002,2.15,0.45,0.25,0.1,3.9000000000000004,2020.5,2
1,3,Abdel Nader,13.100000000000001,1.55,3.65,0.4055,0.6,1.65,0.3305,0.65,0.95,0.6865,0.8,1.4,0.3,1.6,1.85,0.6,0.5,0.35,4.35,2020.0,2
2,6,Aleksej Pokusevski,14.6,1.9,5.6,0.344,0.4,2.4,0.182,0.2,0.4,0.5,1.2,1.1,1.0,3.1,4.1,1.2,0.4,0.5,4.5,2021.0,2
3,10,Amir Coffey,11.0,0.95,2.4,0.39349999999999996,0.55,1.6,0.372,0.8500000000000001,1.05,0.8029999999999999,0.3,0.75,0.2,1.1,1.3,0.6,0.15000000000000002,0.05,3.3,2020.5,2
4,17,Anthony Tolliver,15.9,1.2,3.3,0.357,0.9,2.6,0.338,0.4,0.5,0.724,0.6,1.3,0.6,2.2,2.8,0.8,0.3,0.2,3.6,2019.0,2
5,18,Armoni Brooks,13.0,1.8,4.9,0.362,1.4,4.1,0.333,0.4,0.4,0.875,0.2,1.3,0.3,1.2,1.4,0.7,0.6,0.2,5.3,2021.0,2
6,38,Bruno Fernando,12.7,1.8,3.6,0.518,0.1,0.7,0.135,0.5,0.9,0.569,0.8,1.9,1.2,2.3,3.5,0.9,0.3,0.3,4.3,2019.0,2
7,45,Cam Thomas,11.1,1.5,4.3,0.356,0.3,1.8,0.161,0.6,0.9,0.733,0.2,0.4,0.2,1.2,1.4,0.7,0.4,0.2,4.0,2021.0,2
8,61,Corey Kispert,12.1,1.4,3.4,0.41,0.5,2.0,0.239,0.5,0.6,0.786,0.3,0.4,0.4,1.3,1.8,0.5,0.2,0.1,3.7,2021.0,2
9,65,Dalano Banton,13.1,1.8,3.7,0.477,0.2,0.8,0.333,0.8,1.0,0.75,1.1,1.5,0.7,1.8,2.4,1.7,0.4,0.2,4.5,2021.0,2
10,66,Damian Jones,16.1,2.2,3.2,0.68,0.0,0.2,0.222,1.1,1.5,0.738,0.5,2.7,1.3,2.4,3.7,0.6,0.5,0.7,5.6,2019.0,2
11,78,David Nwaba,11.7,1.5,3.5,0.442,0.1,0.9,0.077,0.9,1.5,0.636,0.5,1.0,0.5,2.5,3.1,0.7,0.7,0.3,4.1,2021.0,2
12,110,Drew Eubanks,14.2,2.05,3.9,0.536,0.0,0.1,0.5,1.5,2.0,0.7605,1.05,1.55,1.35,3.2,4.5,1.1,0.35,0.8500000000000001,5.699999999999999,2020.5,2
13,115,Dylan Windler,10.8,1.0,2.2,0.459,0.6,1.4,0.417,0.2,0.2,0.75,0.5,1.1,0.4,1.4,1.8,1.1,0.2,0.1,2.8,2021.0,2
14,119,Elie Okobo,13.1,1.3,3.3,0.398,0.5,1.3,0.352,0.9,1.3,0.704,0.7,1.0,0.3,1.3,1.6,2.1,0.4,0.1,4.0,2019.0,2
15,135,Gabe Vincent,15.2,2.1,5.050000000000001,0.4095,1.05,3.15,0.34199999999999997,0.5,0.6,0.841,0.95,1.8,0.35,1.0,1.35,1.75,0.5,0.05,5.65,2020.5,2
